code,name,con,grn,lab,lib,oth,pc,ref,snp
E14001063,Aldershot,30.208,5.307,32.646,12.691,2.846,0,16.303,0
E14001064,Aldridge-Brownhills,35.212,3.797,33.348,5.997,0,0,21.647,0
E14001065,Altrincham and Sale West,26.21,5.196,43.001,9.755,2.849,0,12.988,0
E14001066,Amber Valley,30.272,5.082,38.194,5.706,0,0,20.746,0
E14001067,Arundel and South Downs,32.861,8.656,22.427,17.693,2.259,0,16.104,0
E14001068,Ashfield,14.852,3.513,30.953,5.239,17.091,0,28.351,0
E14001069,Ashford,28.914,7.131,33.811,9.337,2.658,0,18.148,0
E14001070,Ashton-under-Lyne,14.855,5.198,52.019,4.956,3.034,0,19.938,0
E14001071,Aylesbury,27.98,5.218,30.18,18.749,2.675,0,15.199,0
E14001072,Banbury,27.63,6.501,32.973,14.698,2.395,0,15.803,0
E14001073,Barking,12.263,5.59,55.892,5.426,4.48,0,16.348,0
E14001074,Barnsley North,8.842,5.614,45.193,5.685,3.83,0,30.835,0
E14001075,Barnsley South,9.702,4.214,45.5,6.123,3.314,0,31.146,0
E14001076,Barrow and Furness,25.832,4.007,45.182,4.824,2.771,0,17.384,0
E14001077,Basildon and Billericay,32.759,4.933,31.154,7.268,2.564,0,21.322,0
E14001078,Basingstoke,26.731,6.036,39.161,9.915,2.802,0,15.354,0
E14001079,Bassetlaw,26.892,2.738,39.98,5.591,0,0,24.798,0
E14001080,Bath,13.172,5.45,15.924,51.891,2.58,0,10.984,0
E14001081,Battersea,18.884,6.5,51.345,10.498,3.374,0,9.401,0
E14001082,Beaconsfield,35.125,5.732,22.855,12.956,3.947,0,19.385,0
E14001083,Beckenham and Penge,21.119,7.251,46.306,12.282,0,0,13.041,0
E14001084,Bedford,20.59,6.073,47.463,8.75,2.907,0,14.218,0
E14001085,Bermondsey and Old Southwark,8.936,5.841,46.134,25.263,4.057,0,9.77,0
E14001086,Bethnal Green and Stepney,5.774,8.761,61.313,8.458,6.203,0,9.491,0
E14001087,Beverley and Holderness,32.511,4.2,32.45,9.378,3.387,0,18.075,0
E14001088,Bexhill and Battle,32.384,5.903,29.911,11.089,2.888,0,17.825,0
E14001089,Bexleyheath and Crayford,31.929,4.414,37.665,6.57,0,0,19.421,0
E14001090,Bicester and Woodstock,27.718,5.206,23.109,28.042,2.324,0,13.601,0
E14001091,Birkenhead,7.138,9.642,57.204,6.051,3.691,0,16.275,0
E14001092,Birmingham Edgbaston,16.498,6.337,52.317,7.481,3.388,0,13.978,0
E14001093,Birmingham Erdington,18.744,4.749,51.619,4.797,2.988,0,17.103,0
E14001094,Birmingham Hall Green and Moseley,7.635,7.143,58.124,7.78,6.608,0,12.709,0
E14001095,Birmingham Hodge Hill and Solihull North,12.403,7.763,53.914,5.495,4.854,0,15.572,0
E14001096,Birmingham Ladywood,5.592,7.832,63.231,5.572,7.249,0,10.524,0
E14001097,Birmingham Northfield,21.715,5.363,47.617,5.415,2.461,0,17.428,0
E14001098,Birmingham Perry Barr,9.906,6.439,58.896,6.47,5.878,0,12.411,0
E14001099,Birmingham Selly Oak,13.536,8.259,55.122,6.372,3.376,0,13.336,0
E14001100,Birmingham Yardley,12.221,5.444,51.249,9.141,4.88,0,17.065,0
E14001101,Bishop Auckland,25.075,3.875,42.206,5.097,2.795,0,20.953,0
E14001102,Blackburn,10.76,4.947,57.47,4.497,5.952,0,16.374,0
E14001103,Blackley and Middleton South,12.47,5.019,58.895,5.211,0,0,18.405,0
E14001104,Blackpool North and Fleetwood,26.57,3.573,42.054,4.924,2.421,0,20.458,0
E14001105,Blackpool South,21.851,4.031,43.574,4.608,2.739,0,23.196,0
E14001106,Blaydon and Consett,14.929,4.659,48.533,6.182,3.677,0,22.02,0
E14001107,Blyth and Ashington,15.582,4.69,52.127,5.622,0,0,21.98,0
E14001108,Bognor Regis and Littlehampton,32.188,5.17,30.827,10.082,2.848,0,18.885,0
E14001109,Bolsover,22.082,3.914,44.739,4.711,0,0,24.554,0
E14001110,Bolton North East,22.712,3.762,46.417,5.376,3.108,0,18.625,0
E14001111,Bolton South and Walkden,13.781,5.915,53.425,5.247,3.968,0,17.663,0
E14001112,Bolton West,26.796,3.544,42.513,6.242,2.771,0,18.134,0
E14001113,Bootle,3.695,5.979,69.333,4.674,2.951,0,13.368,0
E14001114,Boston and Skegness,36.123,2.769,24.71,5.561,3.074,0,27.763,0
E14001115,Bournemouth East,24.461,6.77,39.513,9.531,2.952,0,16.773,0
E14001116,Bournemouth West,25.336,7.045,38.297,9.463,2.631,0,17.229,0
E14001117,Bracknell,29.593,5.35,34.479,11.028,2.507,0,17.043,0
E14001118,Bradford East,10.097,6.921,53.664,8.314,5.325,0,15.68,0
E14001119,Bradford South,17.786,6.157,47.39,5.105,3.833,0,19.728,0
E14001120,Bradford West,7.149,6.84,61.898,4.757,7.234,0,12.123,0
E14001121,Braintree,35.056,3.379,29.729,8.041,3.677,0,20.118,0
E14001122,Brent East,11.927,7.782,57.629,8.662,3.937,0,10.063,0
E14001123,Brent West,18.812,6.278,51.815,8.666,3.458,0,10.971,0
E14001124,Brentford and Isleworth,15.845,6.781,49.423,11.93,4.045,0,11.977,0
E14001125,Brentwood and Ongar,37.424,5.355,24.296,12.47,2.287,0,18.168,0
E14001126,Bridgwater,28.969,4.071,29.864,14.799,2.58,0,19.716,0
E14001127,Bridlington and the Wolds,33.631,5.3,28.327,7.915,3.53,0,21.297,0
E14001128,Brigg and Immingham,36.687,4.912,30.983,6,0,0,21.418,0
E14001129,Brighton Kemptown and Peacehaven,19.384,10.948,59.173,7.308,3.187,0,0,0
E14001130,Brighton Pavilion,7.406,45.532,30.745,5.224,2.671,0,8.424,0
E14001131,Bristol Central,5.319,34.048,46.401,4.326,3.346,0,6.559,0
E14001132,Bristol East,12.826,14.118,61.529,7.502,4.025,0,0,0
E14001133,Bristol North East,17.34,8.448,50.237,5.89,2.607,0,15.478,0
E14001134,Bristol North West,16.297,11.586,50.349,7.57,2.657,0,11.54,0
E14001135,Bristol South,13.35,10.273,51.703,6.638,2.594,0,15.442,0
E14001136,Broadland and Fakenham,31.794,5.731,30.952,13.218,0,0,18.304,0
E14001137,Bromley and Biggin Hill,30.441,5.391,34.431,12.149,2.568,0,15.02,0
E14001138,Bromsgrove,33.304,5.056,31.361,10.377,2.502,0,17.4,0
E14001139,Broxbourne,33.902,4.981,31.403,7.707,2.512,0,19.495,0
E14001140,Broxtowe,22.26,5.377,44.554,4.406,4.338,0,19.065,0
E14001141,Buckingham and Bletchley,28.647,4.679,35.553,11.629,2.834,0,16.658,0
E14001142,Burnley,19.743,4.471,43.265,7.591,4.22,0,20.71,0
E14001143,Burton and Uttoxeter,29.694,5.463,36.881,6.449,2.688,0,18.825,0
E14001144,Bury North,23.659,3.937,49.289,4.531,3.248,0,15.337,0
E14001145,Bury South,20.604,4.325,48.656,5.756,4.16,0,16.499,0
E14001146,Bury St Edmunds and Stowmarket,30.947,12.234,29.43,5.869,2.759,0,18.76,0
E14001147,Calder Valley,25.771,3.726,46.557,5.241,2.747,0,15.957,0
E14001148,Camborne and Redruth,24.439,4.526,42.75,7.596,2.355,0,18.334,0
E14001149,Cambridge,8.364,11.197,50.448,26.574,3.417,0,0,0
E14001150,Cannock Chase,31.521,6.891,34.858,3.532,0,0,23.198,0
E14001151,Canterbury,21.169,5.126,50.18,6.903,2.245,0,14.376,0
E14001152,Carlisle,27.577,4.08,41.117,6.842,3.369,0,17.016,0
E14001153,Carshalton and Wallington,23.415,3.963,18.069,38.484,2.337,0,13.732,0
E14001154,Castle Point,39.159,2.557,28.513,6.556,0,0,23.215,0
E14001155,Central Devon,28.242,7.297,32.145,13.619,2.535,0,16.163,0
E14001156,Central Suffolk and North Ipswich,30.509,8.334,31.599,8.595,2.291,0,18.671,0
E14001157,Chatham and Aylesford,32.32,4.447,33.396,6.573,2.193,0,21.071,0
E14001158,Cheadle,23.746,2.672,16.226,42.005,2.766,0,12.585,0
E14001159,Chelmsford,28.318,4.759,22.695,27.765,2.227,0,14.236,0
E14001160,Chelsea and Fulham,28.409,5.025,37.281,15.255,2.791,0,11.239,0
E14001161,Cheltenham,26.61,3.679,12.068,55.204,2.439,0,0,0
E14001162,Chesham and Amersham,29.778,6.176,15.571,33.108,3.012,0,12.355,0
E14001163,Chester North and Neston,18.209,5.326,54.966,6.657,0,0,14.842,0
E14001164,Chester South and Eddisbury,30.329,4.273,34.399,11.721,3.033,0,16.245,0
E14001165,Chesterfield,15.541,4.868,47.97,7.155,2.37,0,22.096,0
E14001166,Chichester,29.832,5.727,18.808,27.046,1.986,0,16.601,0
E14001167,Chingford and Woodford Green,28.019,4.076,43.93,5.77,6.033,0,12.172,0
E14001168,Chippenham,28.919,4.12,16.603,32.138,2.326,0,15.894,0
E14001169,Chipping Barnet,27.527,4.999,45.788,7.789,2.5,0,11.397,0
E14001171,Christchurch,34.559,5.13,21.184,16.703,3.425,0,18.999,0
E14001172,Cities of London and Westminster,24.321,6.241,36.53,19.324,3.074,0,10.509,0
E14001173,City of Durham,14.121,5.985,48.575,10.739,3.023,0,17.556,0
E14001174,Clacton,31.022,4.634,23.081,5.78,3.251,0,32.231,0
E14001175,Clapham and Brixton Hill,9.239,8.664,55.636,13.936,4.014,0,8.511,0
E14001176,Colchester,25.765,5.938,38.237,11.705,2.479,0,15.877,0
E14001177,Colne Valley,25.959,4.137,44.259,6.284,3.385,0,15.976,0
E14001178,Congleton,32.028,4.788,34.382,8.82,2.824,0,17.158,0
E14001179,Corby and East Northamptonshire,25.489,3.622,44.497,5.869,2.323,0,18.2,0
E14001180,Coventry East,15.223,5.963,51.094,6.238,3.586,0,17.897,0
E14001181,Coventry North West,19.218,6.094,48.308,6.594,2.748,0,17.038,0
E14001182,Coventry South,19.297,6.15,49.772,7.172,2.978,0,14.631,0
