Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,Conv,Labv,LDv,Grnv,Brxv,SNPv,PCv,APNIv,DUPv,SDLPv,SFv,UUPv,TotOthv,MaxOthv,ADVv,AGSv,ANWPv,AONTv,ASHv,BNPv,BPIv,BSJPv,CFv,CHPv,CMEPv,CMUv,CMUKv,COMLv,CPv,CPAv,CVPv,EDv,GWLDv,HWDIv,INETv,JACv,LBTv,LIBv,LNINv,LUTNv,MKv,MRLPv,MTHRv,NEPv,PATRv,PBPv,PFPv,POSv,PPNVv,RBDv,RENv,SDPv,SEPv,SFPv,SHRPv,SLPv,SNAVv,SOCv,TCRPv,TIGv,TLWv,UGPv,UKIPv,VPPv,WEPv,WRPv,WYv,YESHv,YPPv,YRKSv,IND1v,IND2v,IND3v,IND4v,IND5v,IND6v,blank2,total_votes,majority,maj%,Win19,Second19,CON%,LAB%,LD%,GRN%,BRX%,SNP%,PC%,APNI%,DUP%,SDLP%,SF%,UUP%,Tot oths%,Max oths%
Aberafan Maesteg,Aberafan Maesteg,W07000081,1,WA,Wales,County,69.2,63.6,69817,10052,23509,1645,701,3794,0,3991,0,0,0,0,0,731,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,,44423,13457,30.29,Lab,Con,22.63,52.92,3.70,1.58,8.54,0.00,8.98,,,,,,1.65,1.65
Aberdeen North,Aberdeen North,S14000060,2,SC,Scotland,Borough,61.3,65.2,76895,12306,6005,3875,612,813,26516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50127,14210,28.35,SNP,Con,24.55,11.98,7.73,1.22,1.62,52.90,0.00,,,,,,0.00,0.00
Aberdeen South,Aberdeen South,S14000061,3,SC,Scotland,Borough,21.1,65.5,76560,17220,4394,5358,268,195,22683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50118,5463,10.90,SNP,Con,34.36,8.77,10.69,0.53,0.39,45.26,0.00,,,,,,0.00,0.00
Aberdeenshire North and Moray East,Aberdeenshire North & Moray East,S14000062,4,SC,Scotland,County,48.9,64.2,71485,22174,1914,2028,0,0,19775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,45891,2399,5.23,Con,SNP,48.32,4.17,4.42,0.00,0.00,43.09,0.00,,,,,,0.00,0.00
West Aberdeenshire and Kincardine,Aberdeenshire West & Kincardine,S14000058,5,SC,Scotland,County,none,72.4,73634,22752,2431,6253,0,0,21909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53345,843,1.58,Con,SNP,42.65,4.56,11.72,0.00,0.00,41.07,0.00,,,,,,0.00,0.00
Airdrie and Shotts,Airdrie & Shotts,S14000063,6,SC,Scotland,County,10.8,65.8,70420,8000,15343,1652,676,0,20667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46338,5324,11.49,SNP,Lab,17.26,33.11,3.57,1.46,0.00,44.60,0.00,,,,,,0.00,0.00
Aldershot,Aldershot,E14001063,7,SE,England,Borough,6.6,67.5,76765,29453,11468,9068,1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51828,17985,34.70,Con,Lab,56.83,22.13,17.50,3.55,0.00,0.00,0.00,,,,,,0.00,0.00
Aldridge-Brownhills,Aldridge-Brownhills,E14001064,8,WM,England,Borough,20.7,64.7,73122,32941,10183,2654,873,334,0,0,0,0,0,0,0,336,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,47321,22758,48.09,Con,Lab,69.61,21.52,5.61,1.84,0.71,0.00,0.00,,,,,,0.71,0.71
Alloa and Grangemouth,Alloa & Grangemouth,S14000064,9,SC,Scotland,County,99.7,63.2,72265,11323,6622,2426,678,177,24050,0,0,0,0,0,0,382,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,,45658,12727,27.87,SNP,Con,24.80,14.50,5.31,1.48,0.39,52.67,0.00,,,,,,0.84,0.84
Altrincham and Sale West,Altrincham & Sale West,E14001065,10,NW,England,Borough,none,74.1,73934,26311,20172,6036,1566,0,0,0,0,0,0,0,0,678,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,,54763,6139,11.21,Con,Lab,48.05,36.84,11.02,2.86,0.00,0.00,0.00,,,,,,1.24,0.83
Alyn and Deeside,Alyn & Deeside,W07000082,11,WA,Wales,County,20.1,69.2,75695,21963,22374,3095,0,3137,0,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52350,411,0.79,Lab,Con,41.95,42.74,5.91,0.00,5.99,0.00,3.40,,,,,,0.00,0.00
Amber Valley,Amber Valley,E14001066,12,EM,England,County,0.1,64.6,70625,29118,12227,2875,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,45609,16891,37.03,Con,Lab,63.84,26.81,6.30,3.05,0.00,0.00,0.00,,,,,,0.00,0.00
Angus and Perthshire Glens,Angus & Perthshire Glens,S14000065,13,SC,Scotland,County,91.6,73.4,77006,22504,2402,2803,0,329,28509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56547,6005,10.62,SNP,Con,39.80,4.25,4.96,0.00,0.58,50.42,0.00,,,,,,0.00,0.00
