Seat Name,Electorate,CON,LAB,LIB,Reform,Green,"SNP/Plaid",Indept.,Other
Aldershot,"77,531.000000000",0.277572718,0.421183551,0.070130391,0.189448345,0.037392177,0.000000000,0.000000000,0.004272818
Aldridge-Brownhills,"72,512.000000000",0.373974679,0.315152461,0.028285485,0.173725036,0.108862340,0.000000000,0.000000000,0.000000000
Altrincham and Sale West,"73,107.000000000",0.306233565,0.411492653,0.111724671,0.095112142,0.075436968,0.000000000,0.000000000,0.000000000
Amber Valley,"70,045.000000000",0.234818097,0.450839552,0.026865672,0.253684701,0.033791978,0.000000000,0.000000000,0.000000000
Arundel and South Downs,"76,681.000000000",0.314933619,0.252840769,0.141980704,0.207949204,0.079079739,0.000000000,0.000000000,0.003215964
Ashfield,"69,549.000000000",0.172000440,0.275618608,0.034246123,0.464665127,0.053469702,0.000000000,0.000000000,0.000000000
Ashford,"73,390.000000000",0.233052131,0.409950249,0.067531906,0.219251568,0.064006057,0.000000000,0.000000000,0.006208090
Ashton under Lyne,"71,709.000000000",0.098120489,0.569165535,0.018866576,0.260701779,0.053145620,0.000000000,0.000000000,0.000000000
Aylesbury,"76,209.000000000",0.275343651,0.397308469,0.117235413,0.151687013,0.051292896,0.000000000,0.000000000,0.007132558
Banbury,"69,699.000000000",0.261241611,0.433829698,0.080704698,0.168980705,0.051552013,0.000000000,0.000000000,0.003691275
Barking,"71,151.000000000",0.141787974,0.400725271,0.076873618,0.240882671,0.121521527,0.000000000,0.000000000,0.018208940
Barnsley North,"76,552.000000000",0.087864530,0.475631408,0.031293000,0.317923565,0.063318390,0.000000000,0.000000000,0.023969106
Barnsley South,"75,635.000000000",0.050251060,0.337221343,0.013109822,0.552058301,0.030381181,0.000000000,0.000000000,0.016978294
Barrow and Furness,"78,041.000000000",0.178499698,0.487763976,0.034728858,0.248815397,0.045161165,0.000000000,0.000000000,0.005030907
Basildon and Billericay,"76,681.000000000",0.271672879,0.391120368,0.051918439,0.219688665,0.050624863,0.000000000,0.000000000,0.014974786
Basildon South and East Thurrock,"73,037.000000000",0.250209225,0.380909113,0.047535927,0.258649961,0.037086631,0.000000000,0.000000000,0.025609144
Basingstoke,"77,260.000000000",0.235074997,0.457627454,0.057025105,0.188690087,0.055578672,0.000000000,0.000000000,0.006003685
Bassetlaw,"76,595.000000000",0.186328214,0.466440664,0.018934618,0.301382889,0.026913616,0.000000000,0.000000000,0.000000000
Bath,"73,515.000000000",0.118135267,0.077840401,0.586535157,0.146522098,0.061310056,0.000000000,0.000000000,0.009657021
Battersea,"71,971.000000000",0.138335447,0.616547956,0.054522392,0.108498390,0.071499659,0.000000000,0.000000000,0.010596156
