ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,CON (low),CON (high),LAB (low),LAB (high),LDM (low),LDM (high),RFM (low),RFM (high),GRN (low),GRN (high),SNP (low),SNP (high),PCY (low),PCY (high),OTH (low),OTH (high)
E14001063,Aldershot,labour,conservative,conservative,30.2%,37.1%,13.2%,14.1%,5.2%,,,0.3%,26.0%,34.1%,31.2%,42.8%,9.1%,17.1%,10.5%,18.0%,3.8%,7.5%,,,,,0.1%,1.2%
E14001064,Aldridge-Brownhills,labour,conservative,conservative,31.3%,33.5%,5.7%,25.0%,4.4%,,,0.0%,26.6%,35.9%,27.4%,39.2%,3.7%,9.0%,20.1%,30.1%,3.2%,6.3%,,,,,0.0%,0.0%
E14001065,Altrincham and Sale West,labour,conservative,conservative,28.1%,47.5%,8.2%,11.4%,4.4%,,,0.4%,24.8%,31.8%,42.2%,52.4%,5.0%,12.0%,8.6%,14.5%,3.0%,6.4%,,,,,0.1%,1.6%
E14001066,Amber Valley,labour,conservative,conservative,28.1%,39.2%,7.5%,21.2%,4.0%,,,0.0%,24.2%,31.7%,34.1%,44.4%,4.7%,10.5%,17.1%,25.2%,2.7%,5.3%,,,,,0.0%,0.0%
E14001067,Arundel and South Downs,conservative,labour,conservative,35.3%,29.7%,12.8%,16.5%,5.4%,,,0.3%,30.7%,40.2%,24.1%,36.1%,8.6%,17.8%,12.1%,20.3%,3.9%,8.1%,,,,,0.1%,1.3%
E14001068,Ashfield,labour,brexit_party,conservative,15.1%,39.5%,5.1%,34.1%,4.2%,,,2.1%,12.2%,18.4%,34.3%,44.5%,3.0%,8.2%,28.8%,39.1%,2.7%,6.0%,,,,,0.5%,6.1%
E14001069,Ashford,labour,conservative,conservative,28.0%,39.1%,10.5%,16.9%,5.2%,,,0.3%,24.0%,32.0%,33.5%,44.2%,7.4%,14.0%,12.9%,20.4%,3.7%,7.1%,,,,,0.1%,1.3%
E14001070,Ashton-under-Lyne,labour,brexit_party,labour,15.7%,54.5%,5.2%,18.6%,5.4%,,,0.7%,13.2%,18.1%,48.7%,58.4%,3.4%,7.8%,15.3%,21.9%,3.7%,7.8%,,,,,0.2%,2.3%
E14001071,Aylesbury,labour,conservative,conservative,28.8%,36.2%,16.1%,13.7%,4.9%,,,0.3%,24.7%,33.3%,30.6%,42.1%,11.9%,21.5%,10.6%,17.5%,3.6%,7.5%,,,,,0.1%,1.0%
E14001072,Banbury,labour,conservative,conservative,26.6%,30.4%,23.3%,14.8%,4.7%,,,0.2%,23.3%,31.0%,23.8%,35.5%,18.0%,29.5%,11.3%,18.9%,3.1%,6.6%,,,,,0.0%,0.9%
E14001073,Barking,labour,brexit_party,labour,13.0%,63.5%,4.6%,13.5%,4.7%,,,0.5%,10.5%,16.2%,58.5%,67.2%,2.8%,7.1%,10.5%,16.4%,3.2%,6.9%,,,,,0.1%,2.1%
E14001074,Barnsley North,labour,brexit_party,labour,9.3%,47.0%,3.4%,34.8%,5.1%,,,0.3%,6.6%,12.0%,42.4%,51.5%,2.3%,5.1%,31.0%,38.2%,3.4%,7.3%,,,,,0.1%,1.2%
E14001075,Barnsley South,labour,brexit_party,labour,9.3%,45.1%,5.5%,35.8%,3.8%,,,0.5%,6.8%,12.3%,39.8%,49.8%,3.3%,8.6%,31.3%,39.4%,2.6%,5.7%,,,,,0.1%,1.9%
E14001076,Barrow and Furness,labour,conservative,conservative,26.4%,45.9%,4.0%,18.9%,4.6%,,,0.2%,22.3%,30.2%,41.2%,50.5%,2.5%,6.5%,15.7%,22.8%,3.0%,6.9%,,,,,0.0%,0.9%
E14001077,Basildon and Billericay,conservative,labour,conservative,37.4%,29.1%,6.9%,21.4%,4.9%,,,0.2%,32.9%,41.3%,24.4%,33.4%,4.6%,10.2%,17.4%,26.3%,3.5%,6.9%,,,,,0.0%,0.8%
E14001078,Basingstoke,labour,conservative,conservative,26.3%,45.4%,7.5%,16.3%,4.4%,,,0.2%,22.7%,29.9%,40.8%,49.9%,5.3%,11.5%,12.6%,19.9%,3.0%,6.2%,,,,,0.1%,0.7%
E14001079,Bassetlaw,labour,conservative,conservative,26.4%,42.6%,5.6%,22.4%,2.9%,,,0.0%,23.2%,31.3%,37.8%,47.8%,3.4%,8.1%,17.8%,26.1%,2.0%,4.3%,,,,,0.0%,0.0%
E14001080,Bath,libdem,labour,libdem,18.4%,21.6%,46.4%,9.3%,4.1%,,,0.3%,14.9%,21.6%,15.7%,27.5%,40.2%,51.9%,6.9%,12.3%,2.9%,6.1%,,,,,0.0%,0.9%
