ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,,Margin,,CON (lo),CON (hi),LAB (lo),LAB (hi),LDM (lo),LDM (hi),RFM (lo),RFM (hi),GRN (lo),GRN (hi),SNP (lo),SNP (hi),PCY (lo),PCY (hi),OTH (lo),OTH (hi)
E14001063,Aldershot,Labour,Conservatives,Conservatives,31.19%,36.72%,11.88%,14.30%,5.44%,,,0.47%,,5.5%,,27.0%,35.4%,30.4%,42.9%,7.6%,16.4%,11.0%,17.8%,3.5%,8.4%,0.0%,0.0%,,,0.1%,1.7%
E14001064,Aldridge-Brownhills,Labour,Conservatives,Conservatives,34.02%,34.07%,3.92%,23.51%,4.47%,,,0.00%,,0.0%,,30.5%,38.6%,27.9%,39.1%,2.2%,6.4%,19.3%,28.6%,2.8%,6.9%,0.0%,0.0%,,,0.0%,0.0%
E14001065,Altrincham and Sale West,Labour,Conservatives,Conservatives,27.55%,46.09%,9.80%,11.76%,4.34%,,,0.46%,,18.5%,,24.0%,31.0%,39.7%,51.1%,6.4%,13.9%,9.1%,14.8%,2.9%,6.7%,0.0%,0.0%,,,0.1%,1.7%
E14001066,Amber Valley,Labour,Conservatives,Conservatives,27.91%,40.99%,6.97%,20.36%,3.76%,,,0.00%,,13.1%,,24.5%,32.3%,35.0%,46.2%,4.3%,10.8%,16.4%,24.8%,2.5%,5.9%,0.0%,0.0%,,,0.0%,0.0%
E14001067,Arundel and South Downs,Conservatives,Labour,Conservatives,35.91%,26.84%,14.99%,16.17%,5.73%,,,0.36%,,9.1%,,30.3%,40.9%,20.3%,32.4%,10.5%,20.0%,12.7%,20.3%,3.6%,8.7%,0.0%,0.0%,,,0.1%,1.5%
E14001068,Ashfield,Reform UK,Labour,Conservatives,14.65%,34.81%,3.52%,36.31%,3.07%,,,7.64%,,1.5%,,12.3%,16.7%,29.9%,39.2%,2.1%,5.6%,32.0%,40.5%,2.0%,4.7%,0.0%,0.0%,,,4.2%,11.8%
E14001069,Ashford,Labour,Conservatives,Conservatives,27.81%,37.73%,8.97%,18.97%,5.65%,,,0.87%,,9.9%,,24.0%,31.8%,32.0%,42.8%,6.1%,13.5%,15.3%,22.8%,3.7%,8.1%,0.0%,0.0%,,,0.3%,2.8%
E14001070,Ashton-under-Lyne,Labour,Reform UK,Labour,15.95%,54.67%,5.03%,18.90%,4.67%,,,0.78%,,35.8%,,13.4%,18.3%,49.5%,58.3%,3.0%,7.8%,15.5%,22.6%,3.1%,7.3%,0.0%,0.0%,,,0.2%,2.4%
E14001071,Aylesbury,Labour,Conservatives,Conservatives,30.31%,33.46%,18.25%,12.87%,4.69%,,,0.42%,,3.2%,,26.2%,34.3%,27.7%,38.6%,12.4%,23.6%,9.2%,16.7%,2.9%,7.1%,0.0%,0.0%,,,0.1%,2.0%
E14001072,Banbury,Labour,Conservatives,Conservatives,26.42%,31.06%,20.21%,17.45%,4.58%,,,0.28%,,4.6%,,22.8%,30.1%,26.2%,35.5%,15.6%,24.6%,14.1%,21.7%,2.9%,6.4%,0.0%,0.0%,,,0.1%,0.9%
E14001073,Barking,Labour,Reform UK,Labour,12.84%,63.24%,3.82%,13.77%,5.04%,,,1.29%,,49.5%,,10.2%,15.0%,58.8%,66.5%,2.2%,5.9%,11.4%,16.7%,3.3%,7.5%,0.0%,0.0%,,,0.3%,4.2%
E14001074,Barnsley North,Labour,Reform UK,Labour,9.15%,47.65%,3.14%,34.47%,5.17%,,,0.42%,,13.2%,,7.0%,11.6%,43.4%,51.9%,1.9%,4.8%,30.8%,38.3%,3.3%,7.6%,0.0%,0.0%,,,0.1%,1.4%
E14001075,Barnsley South,Labour,Reform UK,Labour,7.96%,42.84%,3.51%,41.48%,3.51%,,,0.69%,,1.4%,,6.3%,9.9%,38.0%,46.5%,2.1%,5.2%,37.6%,45.6%,2.2%,5.5%,0.0%,0.0%,,,0.2%,2.0%
E14001076,Barrow and Furness,Labour,Conservatives,Conservatives,26.02%,44.46%,4.47%,20.04%,4.69%,,,0.32%,,18.4%,,22.7%,29.4%,38.0%,48.9%,2.7%,8.2%,15.9%,25.4%,3.0%,6.9%,0.0%,0.0%,,,0.1%,1.4%
E14001077,Basildon and Billericay,Conservatives,Labour,Conservatives,37.34%,30.04%,4.93%,23.15%,4.28%,,,0.26%,,7.3%,,32.6%,41.1%,25.2%,34.6%,3.0%,7.7%,18.9%,27.6%,2.9%,6.7%,0.0%,0.0%,,,0.1%,1.1%
E14001078,Basingstoke,Labour,Conservatives,Conservatives,26.16%,45.76%,6.86%,15.91%,4.87%,,,0.44%,,19.6%,,22.4%,29.9%,40.7%,49.9%,4.4%,10.5%,12.6%,19.6%,3.2%,6.8%,0.0%,0.0%,,,0.1%,1.4%
E14001079,Bassetlaw,Labour,Conservatives,Conservatives,26.31%,42.64%,4.25%,24.15%,2.64%,,,0.00%,,16.3%,,22.8%,30.1%,37.1%,47.3%,2.3%,6.9%,19.3%,28.2%,1.8%,4.2%,0.0%,0.0%,,,0.0%,0.0%
E14001080,Bath,Liberal Democrats,Conservatives,Liberal Democrats,18.51%,17.25%,49.02%,9.53%,5.37%,,,0.32%,,30.5%,,15.8%,22.0%,11.9%,21.7%,44.0%,53.3%,7.3%,12.1%,3.3%,8.2%,0.0%,0.0%,,,0.1%,1.2%
E14001081,Battersea,Labour,Conservatives,Labour,20.90%,51.26%,13.45%,8.26%,4.98%,,,1.15%,,30.4%,,17.0%,24.4%,45.0%,56.4%,9.5%,18.5%,6.1%,11.1%,2.8%,7.7%,0.0%,0.0%,,,0.3%,3.9%
E14001082,Beaconsfield,Conservatives,Reform UK,Conservatives,36.98%,21.43%,7.98%,22.80%,6.62%,,,4.19%,,14.2%,,31.1%,42.0%,15.2%,28.5%,4.4%,12.1%,17.1%,27.7%,4.2%,10.2%,0.0%,0.0%,,,1.1%,12.1%
E14001083,Beckenham and Penge,Labour,Conservatives,Labour,20.94%,47.78%,12.96%,11.01%,7.31%,,,0.00%,,26.8%,,17.9%,24.0%,42.0%,53.1%,8.5%,19.2%,8.6%,14.1%,4.4%,11.1%,0.0%,0.0%,,,0.0%,0.0%
E14001084,Bedford,Labour,Conservatives,Labour,23.25%,52.88%,6.66%,12.11%,4.79%,,,0.32%,,29.6%,,20.1%,26.4%,48.3%,56.9%,4.1%,9.3%,9.3%,15.0%,3.2%,8.0%,0.0%,0.0%,,,0.1%,1.1%
E14001085,Bermondsey and Old Southwark,Labour,Liberal Democrats,Labour,12.59%,56.69%,17.88%,7.50%,4.46%,,,0.87%,,38.8%,,9.6%,15.1%,50.9%,61.8%,12.4%,23.0%,5.7%,9.6%,2.8%,7.4%,0.0%,0.0%,,,0.2%,2.6%
