pcon,pcon_name,region,country,con_est,con_low,con_high,lab_est,lab_low,lab_high,ld_est,ld_low,ld_high,ref_est,ref_low,ref_high,grn_est,grn_low,grn_high,oth_est,oth_low,oth_high,pc_est,pc_low,pc_high,snp_est,snp_low,snp_high,Seat category
E14001063,Aldershot,South East,England,31.35%,24.45%,38.18%,32.95%,25.03%,41.39%,13.94%,7.30%,24.14%,15.21%,8.43%,25.10%,4.78%,2.12%,9.16%,0.63%,0.38%,1.05%,NA,NA,NA,NA,NA,NA, toss up
E14001064,Aldridge-Brownhills,West Midlands,England,39.40%,30.41%,48.01%,35.16%,27.38%,44.10%,5.47%,2.33%,11.91%,16.61%,8.75%,27.34%,2.24%,0.93%,4.96%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
E14001065,Altrincham and Sale West,North West,England,27.74%,21.82%,33.57%,54.85%,46.69%,63.50%,4.51%,1.66%,9.76%,7.18%,3.51%,13.13%,3.87%,1.62%,7.91%,1.01%,0.59%,1.65%,NA,NA,NA,NA,NA,NA, strong lab
E14001066,Amber Valley,East Midlands,England,34.04%,27.08%,41.92%,41.45%,33.30%,49.81%,2.86%,1.03%,6.76%,15.85%,8.47%,25.45%,4.78%,2.29%,9.83%,NA,NA,NA,NA,NA,NA,NA,NA,NA, lean lab
E14001067,Arundel and South Downs,South East,England,36.59%,29.29%,43.91%,24.39%,17.57%,31.84%,18.77%,11.81%,28.05%,13.20%,7.71%,21.60%,5.65%,2.86%,10.52%,0.30%,0.17%,0.51%,NA,NA,NA,NA,NA,NA, likely con
E14001068,Ashfield,East Midlands,England,7.93%,3.08%,17.10%,21.22%,11.87%,34.51%,1.63%,0.34%,6.57%,59.07%,42.57%,73.42%,6.71%,2.11%,15.91%,0.91%,0.39%,2.31%,NA,NA,NA,NA,NA,NA, strong ref
E14001069,Ashford,South East,England,32.01%,24.55%,38.71%,39.09%,30.75%,48.55%,7.33%,3.17%,15.79%,13.82%,7.21%,22.47%,6.19%,2.77%,12.04%,0.44%,0.27%,0.73%,NA,NA,NA,NA,NA,NA, lean lab
E14001070,Ashton-under-Lyne,North West,England,19.94%,14.92%,25.38%,54.88%,46.61%,63.15%,3.11%,1.16%,7.17%,12.00%,6.75%,18.62%,7.79%,3.61%,14.81%,1.42%,0.81%,2.27%,NA,NA,NA,NA,NA,NA, strong lab
E14001071,Aylesbury,South East,England,30.20%,23.17%,36.03%,33.81%,24.45%,43.75%,17.08%,9.23%,28.43%,12.33%,6.49%,21.84%,4.66%,1.97%,9.25%,0.65%,0.39%,1.08%,NA,NA,NA,NA,NA,NA, toss up
E14001072,Banbury,South East,England,29.66%,22.86%,36.08%,39.94%,31.43%,48.96%,10.13%,5.08%,17.79%,12.50%,6.70%,20.96%,6.30%,3.09%,11.80%,0.46%,0.29%,0.77%,NA,NA,NA,NA,NA,NA, likely lab
E14001073,Barking,London,England,16.00%,12.18%,19.99%,60.23%,51.20%,68.45%,3.18%,1.24%,7.60%,9.01%,5.02%,15.20%,7.30%,3.20%,14.39%,3.17%,1.97%,5.15%,NA,NA,NA,NA,NA,NA, strong lab
E14001074,Barnsley North,Yorkshire and The Humber,England,10.66%,5.87%,17.12%,55.37%,43.77%,66.07%,4.85%,1.55%,11.82%,23.37%,15.23%,33.70%,4.09%,1.25%,10.22%,0.52%,0.23%,1.09%,NA,NA,NA,NA,NA,NA, strong lab
E14001075,Barnsley South,Yorkshire and The Humber,England,9.54%,5.02%,15.88%,56.72%,46.33%,67.67%,2.80%,0.93%,7.56%,25.22%,15.26%,35.18%,4.03%,1.19%,10.31%,0.48%,0.21%,1.08%,NA,NA,NA,NA,NA,NA, strong lab
