seatname,onscode,CurrentMP,PreviousWinner,Conservative,Labour,LibDem,Reform,Green,SNP,Plaid,Minor,Other,Calculus_Winner,Winner,Winner Check,diff_share,second_place,ColourWinning,VictoryType,WinnerStyle,Top2Parties
Aldershot,E14001063,Leo Docherty,CON,0.3119194529,0.3870091106,0.1309781035,0.1399327289,0.02886864322,0,0,0,0.001291960885,Labour,Labour,SAME,0.07508965763,Conservative,#E2585C,Lean,Lean Labour,
Aldridge-Brownhills,E14001064,Wendy Morton,CON,0.3184592165,0.3609160706,0.08154515826,0.1990725551,0.04000699958,0,0,0,0,Labour,Labour,SAME,0.04245685412,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Altrincham and Sale West,E14001065,Graham Brady,CON,0.2549421931,0.5026239987,0.09973168133,0.1078798879,0.03482223888,0,0,0,0,Labour,Labour,SAME,0.2476818056,Conservative,#E2585C,Likely,Likely Labour,
Amber Valley,E14001066,Nigel Mills,CON,0.2330108297,0.4542683631,0.04777518646,0.2141455192,0.0508001016,0,0,0,0,Labour,Labour,SAME,0.2212575334,Conservative,#E2585C,Likely,Likely Labour,
Arundel and South Downs,E14001067,Andrew Griffith,CON,0.3063836955,0.3034080063,0.1639062003,0.179383527,0.04570209421,0,0,0,0.001216476709,Conservative,Conservative,SAME,0.002975689181,Labour,#019EFF,Too close to call,Too close to call Conservative,Conservative-Labour
Ashfield,E14001068,Lee Anderson,CON,0.1441358797,0.3368637589,0.05387373864,0.1601756873,0.02663108442,0,0,0.278319851,0,Labour,Labour,SAME,0.05854390793,Minor,#E2585C,Too close to call,Too close to call Labour,Labour-Minor
Ashford,E14001069,Damian Green,CON,0.3083117116,0.3656616266,0.1106960723,0.1623199427,0.05075154335,0,0,0,0.002259103516,Labour,Labour,SAME,0.057349915,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Ashton under Lyne,E14001070,Angela Rayner,LAB,0.1755745988,0.5805924311,0.04814741431,0.155488409,0.04019714682,0,0,0,0,Labour,Labour,SAME,0.4050178324,Conservative,#E2585C,Strong,Strong Labour,
Aylesbury,E14001071,Rob Butler,CON,0.2926580774,0.3604737546,0.190817821,0.1179929107,0.03608345892,0,0,0,0.001973977458,Labour,Labour,SAME,0.0678156772,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Banbury,E14001072,Victoria Prentis,CON,0.2658519506,0.4297589735,0.1284420249,0.1386071517,0.03578124647,0,0,0,0.001558652782,Labour,Labour,SAME,0.163907023,Conservative,#E2585C,Likely,Likely Labour,
Barking,E14001073,Margaret Hodge,LAB,0.178746489,0.6627746874,0.05270694498,0.0632263039,0.03577132786,0,0,0,0.006774246847,Labour,Labour,SAME,0.4840281985,Conservative,#E2585C,Strong,Strong Labour,
Barnsley North,E14001074,Dan Jarvis,LAB,0.1172183057,0.5014697096,0.04433026646,0.2961405186,0.03830804158,0,0,0,0.002533158083,Labour,Labour,SAME,0.2053291911,Reform,#E2585C,Likely,Likely Labour,
Barnsley South,E14001075,Stephanie Peacock,LAB,0.1253924695,0.495760093,0.04353630498,0.2960518183,0.03658928527,0,0,0,0.002670028925,Labour,Labour,SAME,0.1997082746,Reform,#E2585C,Likely,Likely Labour,
Barrow and Furness,E14001076,Simon Fell,CON,0.206455542,0.5169934384,0.04569565047,0.189010255,0.04048956819,0,0,0,0.001355545951,Labour,Labour,SAME,0.3105378963,Conservative,#E2585C,Strong,Strong Labour,
Basildon and Billericay,E14001077,John Baron,CON,0.3054853076,0.374370566,0.08631918179,0.185372513,0.04614730434,0,0,0,0.00230512723,Labour,Labour,SAME,0.06888525838,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Basildon South and East Thurrock,E14001480,Stephen Metcalfe,CON,0.3152094234,0.3848739921,0.07504865903,0.1881651121,0.03232981977,0,0,0,0.004372993605,Labour,Labour,SAME,0.06966456864,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Basingstoke,E14001078,Maria Miller,CON,0.2722859954,0.4440800262,0.1047556576,0.1393462337,0.03719252214,0,0,0,0.002339564885,Labour,Labour,SAME,0.1717940308,Conservative,#E2585C,Likely,Likely Labour,
