PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001063,Aldershot,South East,35.40,34.04,13.66,3.81,10.87,0,0,2.20,28.37,24.19,7.46,1.08,4.41,0,0,0.46,42.43,45.13,21.57,9.20,20.28,0,0,5.59
E14001064,Aldridge-Brownhills,West Midlands,35.21,38.41,4.81,3.02,17.03,0,0,1.46,26.39,28.67,2.32,0.69,7.67,0,0,0.33,43.84,48.71,8.71,7.54,31.28,0,0,3.75
E14001065,Altrincham and Sale West,North West,25.52,53.06,8.54,3.41,7.38,0,0,2.03,20.11,43.33,4.76,0.97,3.06,0,0,0.39,31.07,62.14,14.06,7.79,14.04,0,0,5.29
E14001066,Amber Valley,East Midlands,30.73,41.32,4.97,3.92,16.97,0,0,2.04,24.07,31.88,2.35,1.28,9.05,0,0,0.46,38.00,50.48,8.66,9.00,27.45,0,0,5.58
E14001067,Arundel and South Downs,South East,33.28,26.15,21.24,8.46,8.59,0,0,2.19,26.02,16.62,11.82,3.07,3.15,0,0,0.40,41.47,36.51,31.90,17.80,17.24,0,0,5.92
E14001068,Ashfield,East Midlands,17.23,39.61,8.79,2.39,15.40,0,0,16.52,11.30,27.95,3.57,0.58,4.70,0,0,4.86,24.33,52.16,16.96,5.91,27.76,0,0,35.95
E14001069,Ashford,South East,28.74,49.01,6.88,4.46,8.78,0,0,2.12,22.00,38.87,3.43,1.40,3.86,0,0,0.46,35.79,59.50,12.33,9.93,16.55,0,0,5.63
E14001070,Ashton-under-Lyne,North West,17.20,61.85,3.82,2.35,12.45,0,0,2.31,12.77,52.10,1.67,0.71,6.25,0,0,0.52,22.19,70.34,7.12,5.49,20.20,0,0,5.64
E14001071,Aylesbury,South East,31.49,37.03,15.01,2.71,12.30,0,0,1.45,25.30,28.33,9.16,0.71,6.32,0,0,0.31,37.83,46.72,22.88,5.90,20.17,0,0,3.70
E14001072,Banbury,South East,31.92,31.17,14.49,8.19,12.57,0,0,1.64,24.54,22.04,8.50,3.08,5.66,0,0,0.41,39.33,40.86,21.75,16.89,23.04,0,0,4.31
E14001073,Barking,London,19.74,53.93,9.11,2.78,8.58,0,0,5.84,14.74,43.71,4.19,0.66,3.63,0,0,1.29,25.24,63.98,16.84,6.56,15.94,0,0,13.76
E14001074,Barnsley North,Yorkshire and The Humber,13.01,53.62,5.27,6.09,17.02,0,0,4.93,8.79,41.25,2.05,1.46,7.63,0,0,0.90,18.15,65.39,11.29,14.83,27.95,0,0,13.91
E14001075,Barnsley South,Yorkshire and The Humber,14.00,52.66,5.16,2.76,21.57,0,0,3.78,9.76,40.33,2.00,0.63,11.68,0,0,0.75,19.47,64.54,10.23,7.47,33.74,0,0,10.20
E14001076,Barrow and Furness,North West,26.21,50.25,3.98,2.97,15.06,0,0,1.50,19.31,39.12,1.65,0.78,6.54,0,0,0.32,33.51,60.84,7.61,7.67,27.11,0,0,4.56
