PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other 
E14001063,Aldershot,South East,34.04,28.54,18.14,4.95,12.16,0,0,2.17,26.16,19.44,8.93,1.01,5.61,0,0,0.38,42.12,38.05,29.33,12.65,22.16,0,0,5.95 
E14001064,Aldridge-Brownhills,West Midlands,36.53,40.05,4.90,3.68,14.84,0,0,0,28.24,28.34,1.31,0.51,6.16,0,0,0,45.75,51.97,11.91,11.58,27.44,0,0,0 
E14001065,Altrincham and Sale West,North West,26.64,46.65,12.65,3.71,8.96,0,0,1.39,20.42,37.81,6.63,0.91,3.81,0,0,0.23,33.83,55.74,20.95,8.62,16.53,0,0,4.09 
E14001066,Amber Valley,East Midlands,30.26,38.15,4.59,7.69,19.31,0,0,0,22.86,28.13,1.39,2.57,10.31,0,0,0,37.99,48.03,10.29,16.58,30.70,0,0,0 
E14001067,Arundel and South Downs,South East,32.18,25.43,11.18,21.64,8.20,0,0,1.36,24.18,16.25,3.81,10.11,3.30,0,0,0.25,41.09,35.94,22.15,36.76,16.61,0,0,4.20 
E14001068,Ashfield,East Midlands,14.39,28.02,7.28,3.16,31.11,0,0,16.04,10.02,19.75,2.65,0.68,19.42,0,0,6.84,19.89,37.67,14.68,7.82,43.24,0,0,30.27 
E14001069,Ashford,South East,27.25,39.78,9.90,8.67,12.92,0,0,1.48,20.94,30.22,4.29,2.86,6.46,0,0,0.30,34.57,49.08,17.38,17.69,21.47,0,0,4.21 
E14001070,Ashton-under-Lyne,North West,17.21,58.25,2.83,4.65,13.69,0,0,3.37,12.72,48.06,0.81,1.42,7.07,0,0,0.84,22.31,68.10,6.69,10.49,22.63,0,0,8.23 
E14001071,Aylesbury,South East,28.38,30.01,20.77,4.91,14.61,0,0,1.33,21.53,21.80,11.60,1.14,7.66,0,0,0.22,35.50,39.06,30.88,12.37,23.34,0,0,3.86 
E14001072,Banbury,South East,28.49,27.82,17.65,13.89,10.93,0,0,1.21,21.64,18.19,9.20,5.14,4.91,0,0,0.25,35.94,37.72,28.18,27.37,20.41,0,0,3.39 
E14001073,Barking,London,18.02,49.66,7.57,5.89,10.08,0,0,8.79,13.27,38.96,2.55,1.41,4.40,0,0,2.89,23.24,60.02,15.16,13.80,18.62,0,0,18.38 
E14001074,Barnsley North,Yorkshire and The Humber,8.68,49.68,5.84,10.23,23.05,0,0,2.51,5.63,35.45,1.79,2.43,11.52,0,0,0.28,12.47,63.48,13.46,25.17,36.83,0,0,7.35 
E14001075,Barnsley South,Yorkshire and The Humber,11.92,48.29,7.30,3.96,25.73,0,0,2.81,8.00,35.84,2.43,0.61,13.93,0,0,0.47,16.49,60.71,16.08,12.94,39.75,0,0,8.22 
E14001076,Barrow and Furness,North West,27.37,52.38,2.06,3.05,13.83,0,0,1.30,20.61,41.14,0.54,0.41,5.92,0,0,0.25,35.54,62.53,5.22,9.12,25.20,0,0,3.78 
