PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001063,Aldershot,South East,32.898206503,36.294835008,10.159280996,3.652653736,15.038432029,0.000000000,0.000000000,1.956591727,  26.60 ,  26.12 ,  3.81 ,  0.62 ,  7.61 ,  -   ,  -   ,  0.36 ,  39.80 ,  46.55 ,  19.21 ,  10.61 ,  23.94 ,  -   ,  -   ,  5.29 
E14001064,Aldridge-Brownhills,West Midlands,34.217858679,45.131690653,5.352847207,2.200949563,13.096653898,0.000000000,0.000000000,0.000000000,  26.08 ,  35.25 ,  1.67 ,  0.28 ,  5.91 ,  -   ,  -   ,  -   ,  42.29 ,  55.16 ,  13.01 ,  7.13 ,  23.88 ,  -   ,  -   ,  -   
E14001065,Altrincham and Sale West,North West,26.659444311,48.526633512,12.537017822,1.789718834,9.004610993,0.000000000,0.000000000,1.482574528,  21.01 ,  39.60 ,  5.73 ,  0.27 ,  4.15 ,  -   ,  -   ,  0.32 ,  32.67 ,  57.09 ,  22.89 ,  5.17 ,  16.50 ,  -   ,  -   ,  4.23 
E14001066,Amber Valley,East Midlands,28.019233319,48.990810410,3.384359339,5.929041562,13.676555369,0.000000000,0.000000000,0.000000000,  21.77 ,  39.87 ,  0.99 ,  1.27 ,  6.79 ,  -   ,  -   ,  -   ,  34.59 ,  58.43 ,  8.14 ,  14.86 ,  23.38 ,  -   ,  -   ,  -   
E14001067,Arundel and South Downs,South East,30.795387517,28.792922913,17.488645050,11.927916353,9.414138302,0.000000000,0.000000000,1.580989866,  23.07 ,  19.92 ,  7.06 ,  3.49 ,  4.08 ,  -   ,  -   ,  0.22 ,  38.82 ,  39.24 ,  30.76 ,  25.94 ,  17.57 ,  -   ,  -   ,  5.38 
E14001068,Ashfield,East Midlands,15.076052580,31.504697902,7.082661784,3.958070768,27.723828170,0.000000000,0.000000000,14.654688796,  10.34 ,  22.13 ,  2.11 ,  0.95 ,  16.23 ,  -   ,  -   ,  5.53 ,  21.21 ,  41.51 ,  15.32 ,  9.47 ,  40.87 ,  -   ,  -   ,  27.90 
E14001069,Ashford,South East,29.167238116,39.284418643,7.935643896,6.998696436,14.961070295,0.000000000,0.000000000,1.652932614,  22.25 ,  30.51 ,  3.13 ,  2.53 ,  8.14 ,  -   ,  -   ,  0.33 ,  36.24 ,  48.71 ,  15.69 ,  13.95 ,  24.70 ,  -   ,  -   ,  4.69 
E14001070,Ashton-under-Lyne,North West,15.432009395,56.823000779,3.167981952,3.493280734,14.867417161,0.000000000,0.000000000,6.216309978,  11.55 ,  45.73 ,  0.71 ,  0.75 ,  8.16 ,  -   ,  -   ,  1.75 ,  19.67 ,  65.56 ,  8.03 ,  8.50 ,  23.70 ,  -   ,  -   ,  14.69 
E14001071,Aylesbury,South East,27.233074911,28.931026445,23.841070806,3.775714328,15.041833286,0.000000000,0.000000000,1.177280224,  20.61 ,  20.71 ,  13.79 ,  1.19 ,  8.33 ,  -   ,  -   ,  0.23 ,  33.88 ,  38.00 ,  35.36 ,  8.54 ,  22.78 ,  -   ,  -   ,  3.42 
E14001072,Banbury,South East,27.796591760,31.203151268,17.622113650,8.885657514,13.324984754,0.000000000,0.000000000,1.167501053,  21.53 ,  22.80 ,  8.88 ,  2.91 ,  6.50 ,  -   ,  -   ,  0.24 ,  34.72 ,  40.49 ,  30.07 ,  18.44 ,  23.01 ,  -   ,  -   ,  3.19 
E14001073,Barking,London,12.975263695,58.835962259,5.293652936,4.226058845,10.384399926,0.000000000,0.000000000,8.284662338,  9.71 ,  47.53 ,  1.60 ,  0.97 ,  4.71 ,  -   ,  -   ,  2.43 ,  16.77 ,  69.30 ,  11.80 ,  10.59 ,  18.07 ,  -   ,  -   ,  19.04 
E14001074,Barnsley North,Yorkshire and The Humber,7.183728569,53.022914939,4.533753934,11.213381276,20.417545917,0.000000000,0.000000000,3.628675365,  4.59 ,  41.16 ,  0.96 ,  3.40 ,  11.17 ,  -   ,  -   ,  0.68 ,  10.46 ,  64.72 ,  12.51 ,  23.29 ,  32.41 ,  -   ,  -   ,  9.83 
E14001075,Barnsley South,Yorkshire and The Humber,9.129827262,45.218420068,9.077849117,3.547923362,29.562311882,0.000000000,0.000000000,3.463668308,  6.37 ,  32.85 ,  2.75 ,  0.57 ,  17.72 ,  -   ,  -   ,  0.65 ,  12.79 ,  56.81 ,  19.32 ,  10.32 ,  43.83 ,  -   ,  -   ,  9.43 
E14001076,Barrow and Furness,North West,25.790830668,53.228783686,1.879725063,1.729123576,15.571375913,0.000000000,0.000000000,1.800161094,  20.06 ,  44.13 ,  0.41 ,  0.21 ,  7.95 ,  -   ,  -   ,  0.36 ,  31.63 ,  62.22 ,  5.25 ,  5.27 ,  26.40 ,  -   ,  -   ,  5.00 
E14001077,Basildon and Billericay,East of England,33.113004927,36.563450677,5.918273260,2.345590220,17.881643563,0.000000000,0.000000000,4.178037353,  25.44 ,  27.86 ,  1.73 ,  0.38 ,  9.28 ,  -   ,  -   ,  1.06 ,  40.54 ,  45.24 ,  13.55 ,  6.77 ,  30.31 ,  -   ,  -   ,  10.10 
E14001078,Basingstoke,South East,30.946681218,45.235675407,7.963941225,5.463376117,7.959123664,0.000000000,0.000000000,2.431202369,  25.33 ,  36.53 ,  3.38 ,  1.38 ,  3.99 ,  -   ,  -   ,  0.52 ,  36.76 ,  54.07 ,  15.94 ,  12.95 ,  13.55 ,  -   ,  -   ,  6.13 
E14001079,Bassetlaw,East Midlands,24.487299388,49.524090177,4.818000519,0.006679756,21.163930161,0.000000000,0.000000000,0.000000000,  17.62 ,  39.40 ,  1.27 ,  -   ,  12.50 ,  -   ,  -   ,  -   ,  31.25 ,  59.69 ,  11.12 ,  0.03 ,  33.23 ,  -   ,  -   ,  -   
E14001080,Bath,South West,14.978625843,15.851259507,56.801421065,4.925329359,6.439872632,0.000000000,0.000000000,1.003491595,  9.70 ,  9.17 ,  41.37 ,  0.71 ,  2.76 ,  -   ,  -   ,  0.16 ,  20.77 ,  24.12 ,  70.31 ,  14.60 ,  11.99 ,  -   ,  -   ,  3.41 
E14001081,Battersea,London,27.982664599,49.624878122,8.664931230,2.638201030,8.442441936,0.000000000,0.000000000,2.646883082,  21.77 ,  40.09 ,  2.91 ,  0.33 ,  3.88 ,  -   ,  -   ,  0.41 ,  35.10 ,  59.89 ,  17.81 ,  8.16 ,  16.10 ,  -   ,  -   ,  8.13 
E14001082,Beaconsfield,South East,38.797327094,23.817748768,6.969734310,4.805105383,21.220060110,0.000000000,0.000000000,4.390024334,  29.33 ,  15.84 ,  2.09 ,  1.39 ,  11.02 ,  -   ,  -   ,  0.70 ,  49.26 ,  33.46 ,  16.17 ,  11.14 ,  33.87 ,  -   ,  -   ,  11.72 
E14001083,Beckenham and Penge,London,21.898354103,47.074407178,14.026437877,8.235649680,8.765151162,0.000000000,0.000000000,0.000000000,  16.59 ,  36.25 ,  5.17 ,  2.15 ,  4.26 ,  -   ,  -   ,  -   ,  27.72 ,  58.24 ,  26.20 ,  18.73 ,  15.58 ,  -   ,  -   ,  -   
E14001084,Bedford,East of England,22.861365401,49.071891441,10.311485021,3.572835143,10.387292177,0.000000000,0.000000000,3.795130817,  17.74 ,  40.76 ,  4.66 ,  0.97 ,  5.77 ,  -   ,  -   ,  0.89 ,  27.80 ,  57.51 ,  17.76 ,  7.87 ,  17.10 ,  -   ,  -   ,  8.80 
E14001085,Bermondsey and Old Southwark,London,11.568164029,39.939661617,36.208017302,1.111211580,4.823357260,0.000000000,0.000000000,6.349588212,  7.64 ,  27.17 ,  22.24 ,  0.08 ,  1.91 ,  -   ,  -   ,  1.70 ,  15.99 ,  52.18 ,  52.49 ,  4.95 ,  10.13 ,  -   ,  -   ,  14.26 
E14001086,Bethnal Green and Stepney,London,8.299118190,57.360517708,8.496768128,8.201268655,10.727027655,0.000000000,0.000000000,6.915299664,  6.01 ,  47.37 ,  3.51 ,  2.76 ,  5.62 ,  -   ,  -   ,  2.12 ,  10.92 ,  66.55 ,  16.19 ,  16.46 ,  18.25 ,  -   ,  -   ,  15.41 
