PCON24CD,Seat,Region, mean_Con, mean_Lab, mean_LDem, mean_Green, mean_Reform, mean_Plaid, mean_SNP, mean_Other, lo_Con, lo_Lab, lo_LDem, lo_Green, lo_Reform, lo_Plaid, lo_SNP, lo_Other, hi_Con, hi_Lab, hi_LDem, hi_Green, hi_Reform, hi_Plaid, hi_SNP, hi_Other
E14001063,Aldershot,South East,30.90271429,  36.01 ,  9.71 ,  3.12 ,  18.48 ,  -   ,  -   ,  1.78 ,  23.51 ,  26.99 ,  3.37 ,  0.51 ,  9.66 ,  -   ,  -   ,  0.37 ,  37.83 ,  45.09 ,  20.46 ,  8.63 ,  29.17 ,  -   ,  -   ,  4.78 
E14001064,Aldridge-Brownhills,West Midlands,34.74105609,  42.81 ,  4.92 ,  2.22 ,  15.31 ,  -   ,  -   ,  -   ,  26.99 ,  33.23 ,  1.31 ,  0.27 ,  6.56 ,  -   ,  -   ,  -   ,  42.53 ,  51.88 ,  11.74 ,  6.55 ,  26.16 ,  -   ,  -   ,  -   
E14001065,Altrincham and Sale West,North West,27.55025657,  45.11 ,  13.44 ,  1.89 ,  10.79 ,  -   ,  -   ,  1.22 ,  22.03 ,  37.00 ,  6.51 ,  0.32 ,  5.46 ,  -   ,  -   ,  0.23 ,  32.82 ,  53.94 ,  22.52 ,  5.43 ,  18.35 ,  -   ,  -   ,  3.51 
E14001066,Amber Valley,East Midlands,27.62594787,  43.30 ,  3.31 ,  5.88 ,  19.88 ,  -   ,  -   ,  -   ,  20.74 ,  34.31 ,  0.85 ,  1.22 ,  10.76 ,  -   ,  -   ,  -   ,  35.06 ,  52.23 ,  7.88 ,  14.20 ,  29.80 ,  -   ,  -   ,  -   
E14001067,Arundel and South Downs,South East,31.16873057,  25.24 ,  15.73 ,  15.39 ,  10.97 ,  -   ,  -   ,  1.51 ,  22.77 ,  16.61 ,  6.86 ,  5.87 ,  4.67 ,  -   ,  -   ,  0.26 ,  39.51 ,  34.94 ,  28.05 ,  29.57 ,  20.75 ,  -   ,  -   ,  4.94 
E14001068,Ashfield,East Midlands,16.71481964,  30.22 ,  3.47 ,  3.81 ,  31.07 ,  -   ,  -   ,  14.72 ,  11.63 ,  20.81 ,  0.99 ,  0.99 ,  19.22 ,  -   ,  -   ,  6.32 ,  22.86 ,  40.08 ,  7.61 ,  9.50 ,  42.60 ,  -   ,  -   ,  25.93 
E14001069,Ashford,South East,27.85298474,  36.99 ,  7.52 ,  6.65 ,  19.67 ,  -   ,  -   ,  1.31 ,  21.58 ,  28.97 ,  2.78 ,  2.21 ,  11.37 ,  -   ,  -   ,  0.26 ,  34.68 ,  45.25 ,  14.61 ,  12.56 ,  30.63 ,  -   ,  -   ,  3.74 
E14001070,Ashton-under-Lyne,North West,14.8852574,  53.69 ,  2.84 ,  4.66 ,  18.45 ,  -   ,  -   ,  5.48 ,  11.10 ,  44.22 ,  0.63 ,  1.17 ,  10.19 ,  -   ,  -   ,  1.50 ,  19.52 ,  62.76 ,  7.43 ,  10.63 ,  29.24 ,  -   ,  -   ,  12.07 
E14001071,Aylesbury,South East,24.40915298,  26.30 ,  25.97 ,  3.73 ,  18.61 ,  -   ,  -   ,  0.98 ,  18.18 ,  19.41 ,  15.32 ,  0.86 ,  10.63 ,  -   ,  -   ,  0.18 ,  30.98 ,  34.04 ,  38.87 ,  8.88 ,  27.90 ,  -   ,  -   ,  3.23 
E14001072,Banbury,South East,26.71266403,  30.31 ,  17.52 ,  8.92 ,  15.47 ,  -   ,  -   ,  1.06 ,  20.71 ,  21.80 ,  8.30 ,  2.77 ,  8.06 ,  -   ,  -   ,  0.18 ,  32.50 ,  39.47 ,  28.50 ,  19.96 ,  25.14 ,  -   ,  -   ,  3.36 
E14001073,Barking,London,13.18403121,  56.97 ,  5.21 ,  4.57 ,  12.70 ,  -   ,  -   ,  7.36 ,  9.79 ,  46.09 ,  1.28 ,  1.03 ,  6.29 ,  -   ,  -   ,  1.75 ,  16.89 ,  67.24 ,  12.09 ,  11.13 ,  21.61 ,  -   ,  -   ,  17.26 
E14001074,Barnsley North,Yorkshire and The Humber,7.62255907,  50.11 ,  4.38 ,  10.04 ,  24.84 ,  -   ,  -   ,  3.00 ,  5.16 ,  37.50 ,  0.99 ,  3.03 ,  14.43 ,  -   ,  -   ,  0.51 ,  10.80 ,  62.40 ,  10.98 ,  21.67 ,  36.54 ,  -   ,  -   ,  7.62 
E14001075,Barnsley South,Yorkshire and The Humber,8.723642464,  42.92 ,  10.33 ,  4.61 ,  30.78 ,  -   ,  -   ,  2.62 ,  6.09 ,  32.99 ,  3.13 ,  0.93 ,  19.75 ,  -   ,  -   ,  0.50 ,  12.07 ,  52.58 ,  21.70 ,  12.93 ,  42.19 ,  -   ,  -   ,  7.19 
E14001076,Barrow and Furness,North West,25.30439575,  51.87 ,  1.74 ,  1.57 ,  17.94 ,  -   ,  -   ,  1.57 ,  19.74 ,  43.38 ,  0.36 ,  0.21 ,  10.22 ,  -   ,  -   ,  0.30 ,  30.99 ,  60.04 ,  4.57 ,  5.18 ,  27.54 ,  -   ,  -   ,  4.61 
E14001077,Basildon and Billericay,East of England,30.56737003,  31.89 ,  6.97 ,  3.87 ,  24.09 ,  -   ,  -   ,  2.61 ,  22.97 ,  24.83 ,  2.02 ,  0.68 ,  14.37 ,  -   ,  -   ,  0.61 ,  38.69 ,  39.67 ,  14.23 ,  9.94 ,  36.17 ,  -   ,  -   ,  6.63 
E14001078,Basingstoke,South East,30.60555038,  45.07 ,  7.50 ,  5.29 ,  9.99 ,  -   ,  -   ,  1.55 ,  25.10 ,  35.65 ,  2.95 ,  1.41 ,  5.18 ,  -   ,  -   ,  0.31 ,  36.28 ,  53.38 ,  14.44 ,  12.42 ,  16.22 ,  -   ,  -   ,  4.12 
E14001079,Bassetlaw,East Midlands,24.74658856,  46.20 ,  4.58 ,  0.01 ,  24.47 ,  -   ,  -   ,  -   ,  18.92 ,  36.91 ,  1.16 ,  -   ,  14.70 ,  -   ,  -   ,  -   ,  31.45 ,  55.82 ,  10.75 ,  0.05 ,  36.07 ,  -   ,  -   ,  -   
E14001080,Bath,South West,16.41918253,  16.57 ,  52.66 ,  4.97 ,  8.36 ,  -   ,  -   ,  1.03 ,  11.03 ,  9.75 ,  38.93 ,  0.74 ,  3.63 ,  -   ,  -   ,  0.13 ,  22.01 ,  25.02 ,  66.04 ,  13.60 ,  16.18 ,  -   ,  -   ,  3.41 
E14001081,Battersea,London,26.80546352,  49.57 ,  8.19 ,  2.71 ,  10.44 ,  -   ,  -   ,  2.28 ,  20.24 ,  38.56 ,  2.57 ,  0.30 ,  4.51 ,  -   ,  -   ,  0.43 ,  33.45 ,  59.19 ,  17.73 ,  8.35 ,  18.89 ,  -   ,  -   ,  7.59 
E14001082,Beaconsfield,South East,38.83994483,  22.76 ,  4.64 ,  4.28 ,  25.98 ,  -   ,  -   ,  3.49 ,  29.88 ,  15.90 ,  0.99 ,  1.10 ,  14.77 ,  -   ,  -   ,  0.53 ,  47.50 ,  30.29 ,  11.93 ,  10.14 ,  38.66 ,  -   ,  -   ,  10.22 
E14001083,Beckenham and Penge,London,23.03529115,  46.70 ,  12.61 ,  8.35 ,  9.30 ,  -   ,  -   ,  -   ,  18.13 ,  37.17 ,  5.01 ,  2.09 ,  4.34 ,  -   ,  -   ,  -   ,  28.64 ,  56.09 ,  23.17 ,  19.82 ,  16.81 ,  -   ,  -   ,  -   
E14001084,Bedford,East of England,21.88461676,  48.34 ,  9.55 ,  4.85 ,  12.16 ,  -   ,  -   ,  3.20 ,  17.32 ,  39.84 ,  4.30 ,  1.33 ,  6.69 ,  -   ,  -   ,  0.76 ,  26.69 ,  57.20 ,  16.35 ,  10.44 ,  19.02 ,  -   ,  -   ,  8.61 
E14001085,Bermondsey and Old Southwark,London,10.99554026,  40.21 ,  36.90 ,  1.00 ,  5.46 ,  -   ,  -   ,  5.43 ,  7.51 ,  27.47 ,  22.24 ,  0.08 ,  2.01 ,  -   ,  -   ,  1.18 ,  15.49 ,  53.51 ,  52.72 ,  3.89 ,  10.57 ,  -   ,  -   ,  14.09 
E14001086,Bethnal Green and Stepney,London,8.032049778,  56.08 ,  8.99 ,  9.25 ,  11.45 ,  -   ,  -   ,  6.19 ,  5.84 ,  45.39 ,  3.94 ,  3.81 ,  6.17 ,  -   ,  -   ,  2.18 ,  10.43 ,  65.84 ,  16.14 ,  16.96 ,  17.39 ,  -   ,  -   ,  13.15 
E14001087,Beverley and Holderness,Yorkshire and The Humber,34.66829678,  35.25 ,  11.41 ,  2.67 ,  15.00 ,  -   ,  -   ,  1.01 ,  27.33 ,  26.48 ,  4.31 ,  0.47 ,  7.56 ,  -   ,  -   ,  0.17 ,  41.54 ,  44.51 ,  22.52 ,  7.71 ,  25.09 ,  -   ,  -   ,  2.91 
E14001088,Bexhill and Battle,South East,28.53349091,  30.53 ,  15.61 ,  2.92 ,  21.14 ,  -   ,  -   ,  1.26 ,  21.55 ,  22.85 ,  7.40 ,  0.43 ,  11.89 ,  -   ,  -   ,  0.23 ,  35.73 ,  38.45 ,  26.61 ,  8.35 ,  32.47 ,  -   ,  -   ,  3.69 
E14001089,Bexleyheath and Crayford,London,27.60303644,  40.78 ,  4.00 ,  4.97 ,  22.64 ,  -   ,  -   ,  -   ,  20.46 ,  32.03 ,  0.91 ,  1.46 ,  12.81 ,  -   ,  -   ,  -   ,  34.53 ,  49.10 ,  10.10 ,  11.67 ,  35.10 ,  -   ,  -   ,  -   
E14001090,Bicester and Woodstock,South East,26.41953529,  26.13 ,  34.34 ,  4.58 ,  6.85 ,  -   ,  -   ,  1.68 ,  21.67 ,  20.85 ,  27.25 ,  2.07 ,  3.66 ,  -   ,  -   ,  0.51 ,  31.27 ,  31.99 ,  42.26 ,  8.19 ,  10.82 ,  -   ,  -   ,  3.58 
E14001091,Birkenhead,North West,7.696273648,  55.17 ,  3.72 ,  16.51 ,  13.58 ,  -   ,  -   ,  3.32 ,  5.16 ,  43.27 ,  0.87 ,  6.89 ,  5.95 ,  -   ,  -   ,  0.61 ,  10.81 ,  66.49 ,  9.60 ,  31.29 ,  23.67 ,  -   ,  -   ,  9.20 
E14001092,Birmingham Edgbaston,West Midlands,17.15734902,  48.54 ,  8.27 ,  11.64 ,  9.63 ,  -   ,  -   ,  4.77 ,  13.01 ,  37.62 ,  2.60 ,  4.50 ,  4.94 ,  -   ,  -   ,  1.27 ,  21.69 ,  58.93 ,  17.85 ,  21.66 ,  16.22 ,  -   ,  -   ,  11.66 
E14001093,Birmingham Erdington,West Midlands,17.27823353,  55.40 ,  2.20 ,  6.94 ,  13.20 ,  -   ,  -   ,  4.98 ,  13.61 ,  47.24 ,  0.63 ,  2.30 ,  7.29 ,  -   ,  -   ,  1.38 ,  21.77 ,  63.02 ,  5.23 ,  14.88 ,  20.17 ,  -   ,  -   ,  11.13 
E14001094,Birmingham Hall Green and Moseley,West Midlands,7.119624929,  54.65 ,  4.82 ,  2.50 ,  10.96 ,  -   ,  -   ,  19.96 ,  4.85 ,  42.17 ,  1.33 ,  0.39 ,  5.21 ,  -   ,  -   ,  8.65 ,  9.94 ,  65.87 ,  11.20 ,  7.19 ,  18.51 ,  -   ,  -   ,  34.74 
E14001095,Birmingham Hodge Hill and Solihull North,West Midlands,15.14996018,  54.35 ,  3.66 ,  4.06 ,  10.45 ,  -   ,  -   ,  12.32 ,  10.99 ,  41.11 ,  0.99 ,  0.76 ,  5.09 ,  -   ,  -   ,  4.34 ,  19.32 ,  64.09 ,  9.29 ,  10.73 ,  18.10 ,  -   ,  -   ,  25.81 
E14001096,Birmingham Ladywood,West Midlands,7.778989701,  54.01 ,  12.73 ,  7.43 ,  8.85 ,  -   ,  -   ,  9.20 ,  5.52 ,  42.43 ,  6.00 ,  2.76 ,  4.42 ,  -   ,  -   ,  2.82 ,  10.55 ,  63.99 ,  22.94 ,  14.01 ,  15.15 ,  -   ,  -   ,  19.02 
E14001097,Birmingham Northfield,West Midlands,22.06195714,  46.31 ,  2.16 ,  9.45 ,  17.56 ,  -   ,  -   ,  2.46 ,  16.58 ,  36.33 ,  0.51 ,  2.94 ,  9.07 ,  -   ,  -   ,  0.52 ,  28.21 ,  56.24 ,  5.97 ,  19.46 ,  27.40 ,  -   ,  -   ,  6.80 
E14001098,Birmingham Perry Barr,West Midlands,12.37355543,  55.54 ,  4.90 ,  4.32 ,  7.49 ,  -   ,  -   ,  15.37 ,  8.57 ,  43.46 ,  1.19 ,  1.09 ,  3.42 ,  -   ,  -   ,  6.48 ,  16.65 ,  65.85 ,  11.84 ,  9.89 ,  13.74 ,  -   ,  -   ,  28.52 
E14001099,Birmingham Selly Oak,West Midlands,17.12565927,  61.87 ,  4.98 ,  3.64 ,  8.24 ,  -   ,  -   ,  4.15 ,  13.38 ,  52.60 ,  1.69 ,  0.62 ,  3.86 ,  -   ,  -   ,  1.01 ,  21.31 ,  70.40 ,  11.10 ,  10.24 ,  14.65 ,  -   ,  -   ,  11.08 
E14001100,Birmingham Yardley,West Midlands,12.93492211,  50.55 ,  6.32 ,  3.95 ,  21.19 ,  -   ,  -   ,  5.06 ,  9.22 ,  39.96 ,  1.62 ,  0.92 ,  12.14 ,  -   ,  -   ,  1.31 ,  16.99 ,  61.04 ,  13.80 ,  9.42 ,  31.98 ,  -   ,  -   ,  12.40 
E14001101,Bishop Auckland,North East,24.78705097,  46.93 ,  3.31 ,  2.88 ,  20.05 ,  -   ,  -   ,  2.04 ,  18.89 ,  38.25 ,  0.76 ,  0.58 ,  11.97 ,  -   ,  -   ,  0.36 ,  30.42 ,  54.83 ,  8.95 ,  8.15 ,  30.46 ,  -   ,  -   ,  6.12 
